Global Size: 24708 byte                                                                                          Version 1.01 (Aug  6, 2014)
Object Version: 1
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|   103 |     |                       |                                            |              |                    |   |   |   |   |   |
|   104 |     | MIDI                  | (External Set1 - Pad8) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   105 |     | MIDI                  | (External Set1 - Pad8) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   106 |     | MIDI                  | (External Set1 - Pad8) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   107 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|   108 |     | MIDI                  | (External Set2 - Knob1) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  0|
|   109 |     | MIDI                  | (External Set2 - Knob1) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  0|
|   110 |     | MIDI                  | (External Set2 - Knob2) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  1|
|   111 |     | MIDI                  | (External Set2 - Knob2) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  1|
|   112 |     | MIDI                  | (External Set2 - Knob3) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  2|
|   113 |     | MIDI                  | (External Set2 - Knob3) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  2|
|   114 |     | MIDI                  | (External Set2 - Knob4) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  3|
|   115 |     | MIDI                  | (External Set2 - Knob4) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  3|
|   116 |     | MIDI                  | (External Set2 - Knob5) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  4|
|   117 |     | MIDI                  | (External Set2 - Knob5) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  4|
|   118 |     | MIDI                  | (External Set2 - Knob6) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  5|
|   119 |     | MIDI                  | (External Set2 - Knob6) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  5|
|   120 |     | MIDI                  | (External Set2 - Knob7) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  6|
|   121 |     | MIDI                  | (External Set2 - Knob7) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  6|
|   122 |     | MIDI                  | (External Set2 - Knob8) Channel            | 00~10        | 1~Gch              | 15|  0|  0| 40|  7|
|   123 |     | MIDI                  | (External Set2 - Knob8) CC# Assign         | FF~77        | Off~CC#119         | 15|  0|  0| 41|  7|
|   124 |     | MIDI                  | (External Set2 - Switch1) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  0|
|   125 |     | MIDI                  | (External Set2 - Switch1) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  0|
|   126 |     | MIDI                  | (External Set2 - Switch2) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  1|
|   127 |     | MIDI                  | (External Set2 - Switch2) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  1|
|   128 |     | MIDI                  | (External Set2 - Switch3) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  2|
|   129 |     | MIDI                  | (External Set2 - Switch3) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  2|
|   130 |     | MIDI                  | (External Set2 - Switch4) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  3|
|   131 |     | MIDI                  | (External Set2 - Switch4) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  3|
|   132 |     | MIDI                  | (External Set2 - Switch5) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  4|
|   133 |     | MIDI                  | (External Set2 - Switch5) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  4|
|   134 |     | MIDI                  | (External Set2 - Switch6) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  5|
|   135 |     | MIDI                  | (External Set2 - Switch6) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  5|
|   136 |     | MIDI                  | (External Set2 - Switch7) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  6|
|   137 |     | MIDI                  | (External Set2 - Switch7) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  6|
|   138 |     | MIDI                  | (External Set2 - Switch8) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 42|  7|
|   139 |     | MIDI                  | (External Set2 - Switch8) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 43|  7|
|   140 |     | MIDI                  | (External Set2 - Switch9) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 44|  0|
|   141 |     | MIDI                  | (External Set2 - Switch9) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 45|  0|
|   142 |     | MIDI                  | (External Set2 - Switch10) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  1|
|   143 |     | MIDI                  | (External Set2 - Switch10) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  1|
|   144 |     | MIDI                  | (External Set2 - Switch11) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  2|
|   145 |     | MIDI                  | (External Set2 - Switch11) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  2|
|   146 |     | MIDI                  | (External Set2 - Switch12) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  3|
|   147 |     | MIDI                  | (External Set2 - Switch12) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  3|
|   148 |     | MIDI                  | (External Set2 - Switch13) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  4|
|   149 |     | MIDI                  | (External Set2 - Switch13) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  4|
|   150 |     | MIDI                  | (External Set2 - Switch14) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  5|
|   151 |     | MIDI                  | (External Set2 - Switch14) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  5|
|   152 |     | MIDI                  | (External Set2 - Switch15) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  6|
|   153 |     | MIDI                  | (External Set2 - Switch15) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  6|
|   154 |     | MIDI                  | (External Set2 - Switch16) Channel         | 00~10        | 1~Gch              | 15|  0|  0| 44|  7|
|   155 |     | MIDI                  | (External Set2 - Switch16) CC# Assign      | FF~77        | Off~CC#119         | 15|  0|  0| 45|  7|
|   156 |     | MIDI                  | (External Set2 - Slider1) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  0|
|   157 |     | MIDI                  | (External Set2 - Slider1) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  0|
|   158 |     | MIDI                  | (External Set2 - Slider2) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  1|
|   159 |     | MIDI                  | (External Set2 - Slider2) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  1|
|   160 |     | MIDI                  | (External Set2 - Slider3) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  2|
|   161 |     | MIDI                  | (External Set2 - Slider3) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  2|
|   162 |     | MIDI                  | (External Set2 - Slider4) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  3|
|   163 |     | MIDI                  | (External Set2 - Slider4) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  3|
|   164 |     | MIDI                  | (External Set2 - Slider5) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  4|
|   165 |     | MIDI                  | (External Set2 - Slider5) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  4|
|   166 |     | MIDI                  | (External Set2 - Slider6) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  5|
|   167 |     | MIDI                  | (External Set2 - Slider6) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  5|
|   168 |     | MIDI                  | (External Set2 - Slider7) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  6|
|   169 |     | MIDI                  | (External Set2 - Slider7) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  6|
|   170 |     | MIDI                  | (External Set2 - Slider8) Channel          | 00~10        | 1~Gch              | 15|  0|  0| 46|  7|
|   171 |     | MIDI                  | (External Set2 - Slider8) CC# Assign       | FF~77        | Off~CC#119         | 15|  0|  0| 47|  7|
|   172 |     | MIDI                  | (External Set2 - SliderMaster) Channel     | 00~10        | 1~Gch              | 15|  0|  0| 46|  8|
|   173 |     | MIDI                  | (External Set2 - SliderMaster) CC# Assign  | FF~77        | Off~CC#119         | 15|  0|  0| 47|  8|
|   174 |     | MIDI                  | (External Set2 - Pad1) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   175 |     | MIDI                  | (External Set2 - Pad1) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   176 |     | MIDI                  | (External Set2 - Pad1) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   177 |     |                       |                                            |              |                    |   |   |   |   |   |
|   178 |     | MIDI                  | (External Set2 - Pad2) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   179 |     | MIDI                  | (External Set2 - Pad2) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   180 |     | MIDI                  | (External Set2 - Pad2) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
