00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
|  9  |     | R Feedback                                       | 9C~64        | -100~+100              | 11  |
| 10  | 6~0 | High Damp                                        | 00~64        | 0~100                  | 12  |
|     | 7   | Low Damp                                         | 00~64        | 0~100                  | 13  |
| 11  | 5~0 |                                                  |              |                        |     |
|     | 6   | LFO Waveform                                     | 00~01        | Triangle~Sine          | 14  |
|     | 7   | LFO Shape                                        | 9C~64        | -100~+100              | 15  |
| 12  | 6~0 |                                                  |              |                        |     |
|     | 7   | LFO Phase                                        | EE~12        | -180~+180              | 16  |
| 13  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | LFO Type                                         | 00~02        | Individual~Effect LFO2 | 17  |
|     | 7   | Common LFO Phase Offset                          | EE~12        | -180~+180              | 18  |
| 14  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO Frequency                                    | 01~E6        | 0.02~20.00             | 19  |
| 15  | 4~0 |                                                  |              |                        |     |
|     | 5   | LFO BPM/MIDI Sync                                | 00~01        | Off~On                 | 20  |
|     | 7~6 | LFO BPM                                          | 0F9F~7530    | MIDI~300.00            | 21  |
| 16  |     |                                                  |              |                        |     |
| 17  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | LFO BPM Base Note                                | 00~09        | 1/32~1/1               | 22  |
| 18  | 0   |                                                  |              |                        |     |
|     | 6~1 | LFO BPM Times                                    | 01~20        | 1~32                   | 23  |
|     | 7   | Depth                                            | 00~64        | 0~100                  | 24  |
| 19  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Depth Mod.Source                                 | 00~25        | Off~Tempo              | 25  |
| 20  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Depth Mod.Intensity                              | 9C~64        | -100~+100              | 26  |
| 21  | 3~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


98:Tape Echo BPM
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Tone                                             | 00~64        | 0~100                  |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | BPM                                              | 0F9F~7530    | MIDI~300.00            |  6  |
|  5  |     |                                                  |              |                        |     |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | Delay Time Base Note                             | 00~09        | 1/32~1/1               |  7  |
|     | 7   | Delay Time Base Times                            | 01~20        | 1~32                   |  8  |
|  7  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Delay Time Mod.Source                            | 00~25        | Off~Tempo              |  9  |
|  8  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | Delay Time Mod.Max Base Note                     | 00~09        | 1/32~1/1               | 10  |
|     | 7   | Delay Time Mod.Max Base Times                    | 01~20        | 1~32                   | 11  |
|  9  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Tap2 Position                                    | 00~64        | 0~100                  | 12  |
| 10  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Tap3 Position                                    | 00~64        | 0~100                  | 13  |
| 11  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Tap1 Level                                       | 00~64        | 0~100                  | 14  |
| 12  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Tap1 Pan                                         | 00~64        | L~R                    | 15  |
| 13  | 0   |                                                  |              |                        |     |
|     | 7~1 | Tap1 Feedback                                    | 9C~64        | -100~+100              | 16  |
| 14  | 0   |                                                  |              |                        |     |
|     | 7~1 | Tap2 Level                                       | 00~64        | 0~100                  | 17  |
| 15  | 6~0 | Tap2 Pan                                         | 00~64        | L~R                    | 18  |
|     | 7   | Tap2 Feedback                                    | 9C~64        | -100~+100              | 19  |
| 16  | 6~0 |                                                  |              |                        |     |
|     | 7   | Tap3 Level                                       | 00~64        | 0~100                  | 20  |
| 17  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Tap3 Pan                                         | 00~64        | L~R                    | 21  |
| 18  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Tap3 Feedback                                    | 9C~64        | -100~+100              | 22  |
| 19  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Feedback Level                                   | 00~64        | 0~100                  | 23  |
| 20  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Feedback Level Mod.Source                        | 00~25        | Off~Tempo              | 24  |
| 21  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Feedback Level Mod.Intensity                     | 9C~64        | -100~+100              | 25  |
| 22  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | High Damp                                        | 00~64        | 0~100                  | 26  |
| 23  | 0   |                                                  |              |                        |     |
|     | 7~1 | Low Damp                                         | 00~64        | 0~100                  | 27  |
| 24  | 6~0 | Saturation                                       | 00~64        | 0~100                  | 28  |
|     | 7   | LFO Frequency                                    | 02~64        | 0.02~1.00              | 29  |
| 25  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | LFO Depth                                        | 00~64        | 0~100                  | 30  |
| 26  | 4~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


99:Reverse BPM Delay
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | BPM                                              | 0F9F~7530    | MIDI~300.00            |  5  |
|  4  |     |                                                  |              |                        |     |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Reverse Base Note                                | 00~08        | 1/32~1/2               |  6  |
|  6  | 5~0 | Reverse Times                                    | 01~20        | 1~32                   |  7  |
|     | 7~6 | Reverse Level                                    | 00~64        | 0~100                  |  8  |
|  7  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | L Post-Delay Base Note                           | 00~08        | 1/32~1/2               |  9  |
|  8  | 0   |                                                  |              |                        |     |
|     | 6~1 | L Post-Delay Times                               | 01~20        | 1~32                   | 10  |
|     | 7   | L Post-Delay Level                               | 00~64        | 0~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | R Post-Delay Base Note                           | 00~08        | 1/32~1/2               | 12  |
| 10  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | R Post-Delay Times                               | 01~20        | 1~32                   | 13  |
| 11  | 6~0 | R Post-Delay Level                               | 00~64        | 0~100                  | 14  |
|     | 7   | Sync Source                                      | 00~25        | Off~Tempo              | 15  |
| 12  | 4~0 |                                                  |              |                        |     |
|     | 5   | Feedback Mode                                    | 00~01        | Reverse~Reverse/Forward| 16  |
|     | 7~6 | Feedback                                         | 9C~64        | -100~+100              | 17  |
| 13  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Feedback Mod.Source                              | 00~25        | Off~Tempo              | 18  |
| 14  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Feedback Mod.Intensity                           | 9C~64        | -100~+100              | 19  |
| 15  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | High Damp                                        | 00~64        | 0~100                  | 20  |
| 16  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Input Trim Mod.Source                            | 00~25        | Off~Tempo              | 21  |
| 17  | 0   |                                                  |              |                        |     |
|     | 7~1 | Input Trim Mod.Intensity                         | 9C~64        | -100~+100              | 22  |
| 18  | 0   |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


100:O-verb
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Rolloff                                          | 00~64        | 0~100                  |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre EQ Band1 Cutoff                              | 000A~014A    | 200~20.0k              |  6  |
|  5  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Pre EQ Band1 Q                                   | 05~64        | 0.5~10.0               |  7  |
|  6  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre EQ Band1 Gain                                | DC~24        | -18.0~+18.0            |  8  |
|  7  | 2~0 |                                                  |              |                        |     |
|     | 3   | Pre EQ Band1 Enable                              | 00~01        | Off~On                 |  9  |
|     | 7~4 | Pre EQ Band2 Cutoff                              | 000A~014A    | 200~20.0k              | 10  |
|  8  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Pre EQ Band2 Q                                   | 05~64        | 0.5~10.0               | 11  |
|  9  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre EQ Band2 Gain                                | DC~24        | -18.0~+18.0            | 12  |
| 10  | 2~0 |                                                  |              |                        |     |
|     | 3   | Pre EQ Band2 Enable                              | 00~01        | Off~On                 | 13  |
|     | 7~4 | Pre Delay                                        | 00~E2        | 0~1360                 | 14  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Input Diffusion1                                 | 00~64        | 0~100                  | 15  |
| 12  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Input Diffusion2                                 | 00~64        | 0~100                  | 16  |
| 13  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Size                                             | 05~64        | 5~100                  | 17  |
| 14  | 0   |                                                  |              |                        |     |
|     | 7~1 | Reverb Time                                      | 00~64        | 0~100                  | 18  |
| 15  | 6~0 | Damping                                          | 00~64        | 0~100                  | 19  |
|     | 7   | Diffusion                                        | 00~64        | 0~100                  | 20  |
| 16  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Bass Crossover                                   | 0001~0172    | 20~24.0k               | 21  |
| 17  | 6~0 |                                                  |              |                        |     |
|     | 7   | Bass Gain                                        | E8~0C        | -12.0~+6.0             | 22  |
| 18  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Mod Rate                                         | 01~A0        | 0.02~5.00              | 23  |
| 19  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Mod Depth                                        | 00~64        | 0~100                  | 24  |
| 20  | 3~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


101:Reverb Hall
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Reverb Time                                      | 01~64        | 0.1~10.0               |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | High Damp                                        | 00~64        | 0~100                  |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay Thru                                   | 00~64        | 0~100                  |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  8  | 5~0 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            | 10  |
|     | 6   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 11  |
|     | 7   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 12  |
+=====+=====+==================================================+==============+========================+=====+


102:Reverb Smooth Hall
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Reverb Time                                      | 01~64        | 0.1~10.0               |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | High Damp                                        | 00~64        | 0~100                  |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay Thru                                   | 00~64        | 0~100                  |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  8  | 5~0 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            | 10  |
|     | 6   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 11  |
|     | 7   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 12  |
+=====+=====+==================================================+==============+========================+=====+


103:Reverb Wet Plate
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Reverb Time                                      | 01~64        | 0.1~10.0               |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | High Damp                                        | 00~64        | 0~100                  |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay Thru                                   | 00~64        | 0~100                  |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  8  | 5~0 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            | 10  |
|     | 6   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 11  |
|     | 7   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 12  |
+=====+=====+==================================================+==============+========================+=====+


104:Reverb Dry Plate
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Reverb Time                                      | 01~64        | 0.1~10.0               |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | High Damp                                        | 00~64        | 0~100                  |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Pre Delay Thru                                   | 00~64        | 0~100                  |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  8  | 5~0 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            | 10  |
|     | 6   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 11  |
|     | 7   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 12  |
+=====+=====+==================================================+==============+========================+=====+


105:Reverb Room
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Reverb Time                                      | 01~1E        | 0.1~3.0                |  5  |
|  4  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | High Damp                                        | 00~64        | 0~100                  |  6  |
|  5  | 0   |                                                  |              |                        |     |
|     | 7~1 | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | Pre Delay Thru                                   | 00~64        | 0~100                  |  8  |
|  7  | 6~0 | ER Level                                         | 00~64        | 0~100                  |  9  |
|     | 7   | Reverb Level                                     | 00~64        | 0~100                  | 10  |
|  8  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            | 11  |
|  9  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            | 12  |
| 10  | 1~0 |                                                  |              |                        |     |
|     | 2   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 13  |
|     | 3   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 14  |
+=====+=====+==================================================+==============+========================+=====+


106:Reverb Bright Room
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Reverb Time                                      | 01~1E        | 0.1~3.0                |  5  |
|  4  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | High Damp                                        | 00~64        | 0~100                  |  6  |
|  5  | 0   |                                                  |              |                        |     |
|     | 7~1 | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | Pre Delay Thru                                   | 00~64        | 0~100                  |  8  |
|  7  | 6~0 | ER Level                                         | 00~64        | 0~100                  |  9  |
|     | 7   | Reverb Level                                     | 00~64        | 0~100                  | 10  |
|  8  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            | 11  |
|  9  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            | 12  |
| 10  | 1~0 |                                                  |              |                        |     |
|     | 2   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 13  |
|     | 3   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 14  |
+=====+=====+==================================================+==============+========================+=====+


107:Early Reflections
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | Type                                             | 00~03        | Sharp~Reverse          |  5  |
|     | 7   | ER Time                                          | 0A~AA        | 10~800                 |  6  |
|  4  | 6~0 |                                                  |              |                        |     |
|     | 7   | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  5  | 6~0 |                                                  |              |                        |     |
|     | 7   | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  8  |
|  6  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  7  | 2~0 |                                                  |              |                        |     |
|     | 3   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 10  |
|     | 4   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 11  |
+=====+=====+==================================================+==============+========================+=====+


108:Early Reflections Hi Dens
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 6~5 | Type                                             | 00~03        | Sharp~Reverse          |  5  |
|     | 7   | ER Time                                          | 0A~FA        | 10~1600                |  6  |
|  4  | 6~0 |                                                  |              |                        |     |
|     | 7   | Pre Delay                                        | 00~C8        | 0~200                  |  7  |
|  5  | 6~0 |                                                  |              |                        |     |
|     | 7   | Pre LEQ Gain                                     | E2~1E        | -15.0~+15.0            |  8  |
|  6  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Pre HEQ Gain                                     | E2~1E        | -15.0~+15.0            |  9  |
|  7  | 2~0 |                                                  |              |                        |     |
|     | 3   | Pre LEQ Fc                                       | 00~01        | Low~Mid-Low            | 10  |
|     | 4   | Pre HEQ Fc                                       | 00~01        | High~Mid-High          | 11  |
+=====+=====+==================================================+==============+========================+=====+


109:P4EQ - Exciter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (P4EQ) Trim                                      | 00~64        | 0~100                  |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (P4EQ) Band1 Cutoff                              | 00~62        | 20~1.00k               |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (P4EQ) Band1 Q                                   | 00~5F        | 0.5~10.0               |  7  |
|  6  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (P4EQ) Band1 Gain                                | EE~12        | -18~+18                |  8  |
|  7  |     | (P4EQ) Band2 Cutoff                              | 0000~01EF    | 50~5.00k               |  9  |
|  8  | 0   |                                                  |              |                        |     |
|     | 7~1 | (P4EQ) Band2 Q                                   | 00~5F        | 0.5~10.0               | 10  |
|  9  | 5~0 | (P4EQ) Band2 Gain                                | EE~12        | -18~+18                | 11  |
|     | 7~6 | (P4EQ) Band3 Cutoff                              | 00~61        | 300~10.0k              | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (P4EQ) Band3 Q                                   | 00~5F        | 0.5~10.0               | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (P4EQ) Band3 Gain                                | EE~12        | -18~+18                | 14  |
| 12  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (P4EQ) Band4 Cutoff                              | 00~C3        | 500~20.0k              | 15  |
| 13  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (P4EQ) Band4 Q                                   | 00~5F        | 0.5~10.0               | 16  |
| 14  | 0   |                                                  |              |                        |     |
|     | 6~1 | (P4EQ) Band4 Gain                                | EE~12        | -18~+18                | 17  |
|     | 7   | (Exciter) Blend                                  | 9C~64        | -100~+100              | 18  |
| 15  | 6~0 |                                                  |              |                        |     |
|     | 7   | (Exciter) Emphasis Frequency                     | 00~46        | 0~70                   | 19  |
| 16  | 5~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


110:P4EQ - Wah
+=====+=====+==================================================+==============+========================+=====+
