00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Ratio                                            | 00~83        | 1.0:1~Inf:1            |  5  |
|  4  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Threshold                                        | D8~00        | -40~0                  |  6  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Attack                                           | 01~64        | 1~100                  |  7  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Release                                          | 01~64        | 1~100                  |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Low Offset                                       | D8~00        | -40~0                  |  9  |
|  8  | 0   |                                                  |              |                        |     |
|     | 7~1 | Mid Offset                                       | D8~00        | -40~0                  | 10  |
|  9  | 6~0 | High Offset                                      | D8~00        | -40~0                  | 11  |
|     | 7   | Gain Adjust                                      | D9~18        | -Inf~+24               | 12  |
| 10  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Gain Adjust Mod.Source                           | 00~25        | Off~Tempo              | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Gain Adjust Mod.Intensity                        | C1~3F        | -63~+63                | 14  |
| 12  | 2~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


07:Stereo Multiband Limiter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Ratio                                            | 00~83        | 1.0:1~Inf:1            |  5  |
|  4  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Threshold                                        | D8~00        | -40~0                  |  6  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Attack                                           | 01~64        | 1~100                  |  7  |
|  6  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | Release                                          | 01~64        | 1~100                  |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | Low Offset                                       | D8~00        | -40~0                  |  9  |
|  8  | 0   |                                                  |              |                        |     |
|     | 7~1 | Mid Offset                                       | D8~00        | -40~0                  | 10  |
|  9  | 6~0 | High Offset                                      | D8~00        | -40~0                  | 11  |
|     | 7   | Gain Adjust                                      | D9~18        | -Inf~+24               | 12  |
| 10  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Gain Adjust Mod.Source                           | 00~25        | Off~Tempo              | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | Gain Adjust Mod.Intensity                        | C1~3F        | -63~+63                | 14  |
| 12  | 2~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


08:Stereo Mastering Limiter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Threshold                                        | FED4~0000    | -30.0~0.0              |  5  |
|  4  | 6~0 |                                                  |              |                        |     |
|     | 7   | Out Ceiling                                      | FED4~0000    | -30.0~0.0              |  6  |
|  5  |     |                                                  |              |                        |     |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | Release                                          | 000D~0122    | 0.65~1000.0            |  7  |
|  7  | 1~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


09:Stereo Gate
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | Wet/Dry                                          | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | Wet/Dry Mod.Source                               | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | Wet/Dry Mod.Intensity                            | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Input Trim                                       | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Envelope Source                                  | FF~02        | Mod.Source~FX Control2 |  5  |
|  4  | 6~0 | Fx Control Trim                                  | 00~64        | 0~100                  |  6  |
|     | 7   | Envelope Select                                  | 01~03        | L/R Mix~R Only         |  7  |
|  5  | 0   |                                                  |              |                        |     |
|     | 6~1 | Envelope Select Mod.Source                       | 00~25        | Off~Tempo              |  8  |
|     | 7   | Polarity                                         | 00~01        | +~-                    |  9  |
|  6  | 6~0 | Threshold                                        | 00~64        | 0~100                  | 10  |
|     | 7   | Attack                                           | 01~64        | 1~100                  | 11  |
|  7  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | Release                                          | 01~64        | 1~100                  | 12  |
|  8  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | Delay Time                                       | 00~64        | 0~100                  | 13  |
|  9  | 3~0 |                                                  |              |                        |     |
|     | 4   | Side PEQ Insert                                  | 00~01        | Off~On                 | 14  |
|     | 5   | Trigger Monitor                                  | 00~01        | Off~On                 | 15  |
|     | 7~6 | Side PEQ Cutoff                                  | 0000~0257    | 20~12.0k               | 16  |
| 10  |     |                                                  |              |                        |     |
| 11  | 6~0 | Side PEQ Q                                       | 05~64        | 0.5~10.0               | 17  |
