Song Control Size: 5264 byte
Object Version: 0
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|       | 7   | MIDI Track 05         | Loop                                       | 00~01        | Off~On             |   |   |   |   |   |
|   186 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   187 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   188 |     | MIDI Track 05         | Loop Start Measure                         | 000~~3E7     | 0~999              |   |   |   |   |   |
|   189 |     |                       |                                            |              |                    |   |   |   |   |   |
|   190 |     | MIDI Track 05         | Loop End Measure                           | 000~~3E7     | 0~999              |   |   |   |   |   |
|   191 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|   192 |     | MIDI Track 06         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|   193 |     |                       |                                            |              |                    |   |   |   |   |   |
|   194 |     |                       |                                            |              |                    |   |   |   |   |   |
|   195 |     |                       |                                            |              |                    |   |   |   |   |   |
|   196 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   197 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   198 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   199 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   200 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   201 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   202 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   203 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   204 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   205 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   206 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   207 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   208 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   209 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   210 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   211 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   212 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   213 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   214 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   215 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   216 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   217 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   218 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   219 |     | MIDI Track 06         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   220 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
