0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|   41 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [LFO3] Stop                                         | 00~01        | Off~On             |11/12|  8|  0|  7|  0|
|      | 7~3 | [LFO3] Offset                                       | 9D~63        | -99~+99            |11/12|  8|  0|  8|  0|
|   42 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 3   | [LFO3] Key Sync                                     | 00~01        | Off~On             |11/12|  8|  0|  9|  0|
|      | 7~4 | [LFO3] Fade In                                      | 00~63        | 0~99               |11/12|  8|  0| 10|  0|
|   43 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO3] Delay                                        | 00~63        | 0~99               |11/12|  8|  0| 11|  0|
|   44 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Source                       | 00~34        | Off~Tempo          |11/12|  8|  0| 12|  0|
|   45 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Intensity                    | 9D~63        | -99~+99            |11/12|  8|  0| 13|  0|
|   46 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Int.Mod.Source               | 00~34        | Off~Tempo          |11/12|  8|  0| 14|  0|
|   47 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Int.Mod.Intensity            | 9D~63        | -99~+99            |11/12|  8|  0| 15|  0|
|   48 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.2 Source                       | 00~34        | Off~Tempo          |11/12|  8|  0| 16|  0|
|   49 | 1~0 |                                                     |              |                    |     |   |   |   |   |
