0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|   52 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~5 | [MG] Waveform Mod.Source                             | 00~34        | Off~Tempo          |11/12|127|  0| 15|  0|
|   53 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~5 | [MG] Waveform Mod.Intensity                          | FC18~03E8    | -10.00~+10.00      |11/12|127|  0| 16|  0|
|   54 |     |                                                      |              |                    |     |   |   |   |   |
|   55 |     | [MG] Waveform Mod.Int.Mod.Source                     | 00~34        | Off~Tempo          |11/12|127|  0| 17|  0|
|   56 |     | [MG] Waveform Mod.Int.Mod.Intensity                  | FC18~03E8    | -10.00~+10.00      |11/12|127|  0| 18|  0|
|   57 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 5~3 | [OSC] Voice Allocation EG                            | 00~05        | EG1~EG6            |11/12|127|  0| 19|  0|
|   58 | 4~0 | [LFO1] Waveform                                      | 00~11        | Triangle~Random6(Co|11/12|  8|  0|  0|  0|
|      | 7~5 | [LFO1] Start Phase                                   | DC~25        | -180~RND           |11/12|  8|  0|  1|  0|
|   59 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Shape                                         | 9D~63        | -99~+99            |11/12|  8|  0|  2|  0|
|   60 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Shape Mod.Source                              | 00~34        | Off~Tempo          |11/12|  8|  0|  3|  0|
|   61 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Shape Mod.Intensity                           | 9D~63        | -99~+99            |11/12|  8|  0|  4|  0|
|   62 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO1] Frequency                                     | 00~63        | 0~99               |11/12|  8|  0|  5|  0|
|   63 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO1] Frequency Fine                                | 00~63        | 0~99               |11/12|  8|  0|  6|  0|
|   64 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO1] Stop                                          | 00~01        | Off~On             |11/12|  8|  0|  7|  0|
|      | 7~3 | [LFO1] Offset                                        | 9D~63        | -99~+99            |11/12|  8|  0|  8|  0|
|   65 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 3   | [LFO1] Key Sync                                      | 00~01        | Off~On             |11/12|  8|  0|  9|  0|
|      | 7~4 | [LFO1] Fade In                                       | 00~63        | 0~99               |11/12|  8|  0| 10|  0|
|   66 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO1] Delay                                         | 00~63        | 0~99               |11/12|  8|  0| 11|  0|
|   67 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO1] Frequency Mod.1 Source                        | 00~34        | Off~Tempo          |11/12|  8|  0| 12|  0|
|   68 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO1] Frequency Mod.1 Intensity                     | 9D~63        | -99~+99            |11/12|  8|  0| 13|  0|
|   69 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO1] Frequency Mod.1 Int.Mod.Source                | 00~34        | Off~Tempo          |11/12|  8|  0| 14|  0|
|   70 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO1] Frequency Mod.1 Int.Mod.Intensity             | 9D~63        | -99~+99            |11/12|  8|  0| 15|  0|
|   71 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO1] Frequency Mod.2 Source                        | 00~34        | Off~Tempo          |11/12|  8|  0| 16|  0|
|   72 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO1] Frequency Mod.2 Intensity                     | 9D~63        | -99~+99            |11/12|  8|  0| 17|  0|
|   73 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO1] MIDI Sync                                     | 00~01        | Off~On             |11/12|  8|  0| 18|  0|
|      | 6~3 | [LFO1] MIDI Sync Base Note                           | 00~09        | 1/32~1/1           |11/12|  8|  0| 19|  0|
|      | 7   | [LFO1] MIDI Sync Times                               | 01~20        | 1~32               |11/12|  8|  0| 20|  0|
|   74 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|   75 | 4~0 | [LFO2] Waveform                                      | 00~11        | Triangle~Random6(Co|11/12|  9|  0|  0|  0|
|      | 7~5 | [LFO2] Start Phase                                   | DC~25        | -180~RND           |11/12|  9|  0|  1|  0|
|   76 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO2] Shape                                         | 9D~63        | -99~+99            |11/12|  9|  0|  2|  0|
|   77 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO2] Shape Mod.Source                              | 00~34        | Off~Tempo          |11/12|  9|  0|  3|  0|
|   78 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO2] Shape Mod.Intensity                           | 9D~63        | -99~+99            |11/12|  9|  0|  4|  0|
|   79 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO2] Frequency                                     | 00~63        | 0~99               |11/12|  9|  0|  5|  0|
|   80 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO2] Frequency Fine                                | 00~63        | 0~99               |11/12|  9|  0|  6|  0|
|   81 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO2] Stop                                          | 00~01        | Off~On             |11/12|  9|  0|  7|  0|
|      | 7~3 | [LFO2] Offset                                        | 9D~63        | -99~+99            |11/12|  9|  0|  8|  0|
|   82 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 3   | [LFO2] Key Sync                                      | 00~01        | Off~On             |11/12|  9|  0|  9|  0|
|      | 7~4 | [LFO2] Fade In                                       | 00~63        | 0~99               |11/12|  9|  0| 10|  0|
|   83 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO2] Delay                                         | 00~63        | 0~99               |11/12|  9|  0| 11|  0|
|   84 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.1 Source                        | 00~34        | Off~Tempo          |11/12|  9|  0| 12|  0|
|   85 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.1 Intensity                     | 9D~63        | -99~+99            |11/12|  9|  0| 13|  0|
|   86 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.1 Int.Mod.Source                | 00~34        | Off~Tempo          |11/12|  9|  0| 14|  0|
|   87 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.1 Int.Mod.Intensity             | 9D~63        | -99~+99            |11/12|  9|  0| 15|  0|
|   88 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.2 Source                        | 00~34        | Off~Tempo          |11/12|  9|  0| 16|  0|
|   89 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO2] Frequency Mod.2 Intensity                     | 9D~63        | -99~+99            |11/12|  9|  0| 17|  0|
|   90 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO2] MIDI Sync                                     | 00~01        | Off~On             |11/12|  9|  0| 18|  0|
|      | 6~3 | [LFO2] MIDI Sync Base Note                           | 00~09        | 1/32~1/1           |11/12|  9|  0| 19|  0|
|      | 7   | [LFO2] MIDI Sync Times                               | 01~20        | 1~32               |11/12|  9|  0| 20|  0|
|   91 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|   92 | 4~0 | [LFO3] Waveform                                      | 00~11        | Triangle~Random6(Co|11/12| 10|  0|  0|  0|
|      | 7~5 | [LFO3] Start Phase                                   | DC~25        | -180~RND           |11/12| 10|  0|  1|  0|
|   93 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Shape                                         | 9D~63        | -99~+99            |11/12| 10|  0|  2|  0|
|   94 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Shape Mod.Source                              | 00~34        | Off~Tempo          |11/12| 10|  0|  3|  0|
|   95 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Shape Mod.Intensity                           | 9D~63        | -99~+99            |11/12| 10|  0|  4|  0|
|   96 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO3] Frequency                                     | 00~63        | 0~99               |11/12| 10|  0|  5|  0|
|   97 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO3] Frequency Fine                                | 00~63        | 0~99               |11/12| 10|  0|  6|  0|
|   98 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO3] Stop                                          | 00~01        | Off~On             |11/12| 10|  0|  7|  0|
|      | 7~3 | [LFO3] Offset                                        | 9D~63        | -99~+99            |11/12| 10|  0|  8|  0|
|   99 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 3   | [LFO3] Key Sync                                      | 00~01        | Off~On             |11/12| 10|  0|  9|  0|
|      | 7~4 | [LFO3] Fade In                                       | 00~63        | 0~99               |11/12| 10|  0| 10|  0|
|  100 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO3] Delay                                         | 00~63        | 0~99               |11/12| 10|  0| 11|  0|
|  101 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Source                        | 00~34        | Off~Tempo          |11/12| 10|  0| 12|  0|
|  102 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Intensity                     | 9D~63        | -99~+99            |11/12| 10|  0| 13|  0|
|  103 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Int.Mod.Source                | 00~34        | Off~Tempo          |11/12| 10|  0| 14|  0|
|  104 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.1 Int.Mod.Intensity             | 9D~63        | -99~+99            |11/12| 10|  0| 15|  0|
|  105 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.2 Source                        | 00~34        | Off~Tempo          |11/12| 10|  0| 16|  0|
|  106 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO3] Frequency Mod.2 Intensity                     | 9D~63        | -99~+99            |11/12| 10|  0| 17|  0|
|  107 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO3] MIDI Sync                                     | 00~01        | Off~On             |11/12| 10|  0| 18|  0|
|      | 6~3 | [LFO3] MIDI Sync Base Note                           | 00~09        | 1/32~1/1           |11/12| 10|  0| 19|  0|
|      | 7   | [LFO3] MIDI Sync Times                               | 01~20        | 1~32               |11/12| 10|  0| 20|  0|
|  108 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|  109 | 4~0 | [LFO4] Waveform                                      | 00~11        | Triangle~Random6(Co|11/12| 11|  0|  0|  0|
|      | 7~5 | [LFO4] Start Phase                                   | DC~25        | -180~RND           |11/12| 11|  0|  1|  0|
|  110 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Shape                                         | 9D~63        | -99~+99            |11/12| 11|  0|  2|  0|
|  111 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Shape Mod.Source                              | 00~34        | Off~Tempo          |11/12| 11|  0|  3|  0|
|  112 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Shape Mod.Intensity                           | 9D~63        | -99~+99            |11/12| 11|  0|  4|  0|
|  113 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Frequency                                     | 00~63        | 0~99               |11/12| 11|  0|  5|  0|
|  114 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO4] Frequency Fine                                | 00~63        | 0~99               |11/12| 11|  0|  6|  0|
|  115 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO4] Stop                                          | 00~01        | Off~On             |11/12| 11|  0|  7|  0|
|      | 7~3 | [LFO4] Offset                                        | 9D~63        | -99~+99            |11/12| 11|  0|  8|  0|
|  116 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 3   | [LFO4] Key Sync                                      | 00~01        | Off~On             |11/12| 11|  0|  9|  0|
|      | 7~4 | [LFO4] Fade In                                       | 00~63        | 0~99               |11/12| 11|  0| 10|  0|
|  117 | 2~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO4] Delay                                         | 00~63        | 0~99               |11/12| 11|  0| 11|  0|
|  118 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Source                        | 00~34        | Off~Tempo          |11/12| 11|  0| 12|  0|
|  119 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Intensity                     | 9D~63        | -99~+99            |11/12| 11|  0| 13|  0|
|  120 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Int.Mod.Source                | 00~34        | Off~Tempo          |11/12| 11|  0| 14|  0|
|  121 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Int.Mod.Intensity             | 9D~63        | -99~+99            |11/12| 11|  0| 15|  0|
|  122 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.2 Source                        | 00~34        | Off~Tempo          |11/12| 11|  0| 16|  0|
|  123 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.2 Intensity                     | 9D~63        | -99~+99            |11/12| 11|  0| 17|  0|
|  124 | 1~0 |                                                      |              |                    |     |   |   |   |   |
|      | 2   | [LFO4] MIDI Sync                                     | 00~01        | Off~On             |11/12| 11|  0| 18|  0|
|      | 6~3 | [LFO4] MIDI Sync Base Note                           | 00~09        | 1/32~1/1           |11/12| 11|  0| 19|  0|
|      | 7   | [LFO4] MIDI Sync Times                               | 01~20        | 1~32               |11/12| 11|  0| 20|  0|
|  125 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|  126 |     | [EG3] Start Level                                    | 9D~63        | -99~+99            |11/12| 12|  0|  0|  0|
|  127 |     | [EG3] Attack Level                                   | 9D~63        | -99~+99            |11/12| 12|  0|  0|  1|
|  128 |     | [EG3] Break Level                                    | 9D~63        | -99~+99            |11/12| 12|  0|  0|  2|
|  129 |     | [EG3] Sustain Level                                  | 9D~63        | -99~+99            |11/12| 12|  0|  0|  3|
|  130 |     | [EG3] Release Level                                  | 9D~63        | -99~+99            |11/12| 12|  0|  0|  4|
|  131 | 6~0 | [EG3] Attack Time                                    | 00~63        | 0~99               |11/12| 12|  0|  1|  0|
|      | 7   | [EG3] Decay Time                                     | 00~63        | 0~99               |11/12| 12|  0|  1|  1|
|  132 | 5~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~6 | [EG3] Slope Time                                     | 00~63        | 0~99               |11/12| 12|  0|  1|  2|
|  133 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~5 | [EG3] Release Time                                   | 00~63        | 0~99               |11/12| 12|  0|  1|  3|
|  134 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Attack Time EG Curve                           | 00~0A        | 0~10               |11/12| 12|  0|  2|  0|
|  135 | 3~0 | [EG3] Decay Time EG Curve                            | 00~0A        | 0~10               |11/12| 12|  0|  2|  1|
|      | 7~4 | [EG3] Slope Time EG Curve                            | 00~0A        | 0~10               |11/12| 12|  0|  2|  2|
|  136 | 3~0 | [EG3] Release Time EG Curve                          | 00~0A        | 0~10               |11/12| 12|  0|  2|  3|
|      | 7~4 | [EG3] Level Mod.Source                               | 00~34        | Off~Tempo          |11/12| 12|  0|  3|  0|
|  137 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Level Mod.Intensity To Start Level             | 9D~63        | -99~+99            |11/12| 12|  0|  4|  0|
|  138 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Level Mod.Intensity To Attack Level            | 9D~63        | -99~+99            |11/12| 12|  0|  4|  1|
|  139 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Level Mod.Intensity To Break Level             | 9D~63        | -99~+99            |11/12| 12|  0|  4|  2|
|  140 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3]                                                | 00(fixed)    | 0                  |11/12| 12|  0|  5|  0|
|  141 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3]                                                | 00(fixed)    | 0                  |11/12| 12|  0|  6|  0|
|  142 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3]                                                | 00(fixed)    | 0                  |11/12| 12|  0|  6|  1|
|  143 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3]                                                | 00(fixed)    | 0                  |11/12| 12|  0|  6|  2|
|  144 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.1 Source                              | 00~34        | Off~Tempo          |11/12| 12|  0|  7|  0|
|  145 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.1 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 12|  0|  8|  0|
|  146 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.1 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 12|  0|  8|  1|
|  147 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.1 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 12|  0|  8|  2|
|  148 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.1 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 12|  0|  8|  3|
|  149 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.2 Source                              | 00~34        | Off~Tempo          |11/12| 12|  0|  9|  0|
|  150 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.2 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 12|  0| 10|  0|
|  151 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.2 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 12|  0| 10|  1|
|  152 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.2 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 12|  0| 10|  2|
|  153 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.2 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 12|  0| 10|  3|
|  154 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.3 Source                              | 00~34        | Off~Tempo          |11/12| 12|  0| 11|  0|
|  155 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.3 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 12|  0| 12|  0|
|  156 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.3 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 12|  0| 12|  1|
|  157 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.3 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 12|  0| 12|  2|
|  158 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Time Mod.3 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 12|  0| 12|  3|
|  159 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Reset Source                                   | 00~34        | Off~Tempo          |11/12| 12|  0| 13|  0|
|  160 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG3] Reset Threshold                                | 9D~63        | -99~+99            |11/12| 12|  0| 14|  0|
|  161 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|  162 |     | [EG4] Start Level                                    | 9D~63        | -99~+99            |11/12| 13|  0|  0|  0|
|  163 |     | [EG4] Attack Level                                   | 9D~63        | -99~+99            |11/12| 13|  0|  0|  1|
|  164 |     | [EG4] Break Level                                    | 9D~63        | -99~+99            |11/12| 13|  0|  0|  2|
|  165 |     | [EG4] Sustain Level                                  | 9D~63        | -99~+99            |11/12| 13|  0|  0|  3|
|  166 |     | [EG4] Release Level                                  | 9D~63        | -99~+99            |11/12| 13|  0|  0|  4|
|  167 | 6~0 | [EG4] Attack Time                                    | 00~63        | 0~99               |11/12| 13|  0|  1|  0|
|      | 7   | [EG4] Decay Time                                     | 00~63        | 0~99               |11/12| 13|  0|  1|  1|
|  168 | 5~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~6 | [EG4] Slope Time                                     | 00~63        | 0~99               |11/12| 13|  0|  1|  2|
|  169 | 4~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~5 | [EG4] Release Time                                   | 00~63        | 0~99               |11/12| 13|  0|  1|  3|
|  170 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Attack Time EG Curve                           | 00~0A        | 0~10               |11/12| 13|  0|  2|  0|
|  171 | 3~0 | [EG4] Decay Time EG Curve                            | 00~0A        | 0~10               |11/12| 13|  0|  2|  1|
|      | 7~4 | [EG4] Slope Time EG Curve                            | 00~0A        | 0~10               |11/12| 13|  0|  2|  2|
|  172 | 3~0 | [EG4] Release Time EG Curve                          | 00~0A        | 0~10               |11/12| 13|  0|  2|  3|
|      | 7~4 | [EG4] Level Mod.Source                               | 00~34        | Off~Tempo          |11/12| 13|  0|  3|  0|
|  173 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Level Mod.Intensity To Start Level             | 9D~63        | -99~+99            |11/12| 13|  0|  4|  0|
|  174 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Level Mod.Intensity To Attack Level            | 9D~63        | -99~+99            |11/12| 13|  0|  4|  1|
|  175 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Level Mod.Intensity To Break Level             | 9D~63        | -99~+99            |11/12| 13|  0|  4|  2|
|  176 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4]                                                | 00(fixed)    | 0                  |11/12| 13|  0|  5|  0|
|  177 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4]                                                | 00(fixed)    | 0                  |11/12| 13|  0|  6|  0|
|  178 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4]                                                | 00(fixed)    | 0                  |11/12| 13|  0|  6|  1|
|  179 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4]                                                | 00(fixed)    | 0                  |11/12| 13|  0|  6|  2|
|  180 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.1 Source                              | 00~34        | Off~Tempo          |11/12| 13|  0|  7|  0|
|  181 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.1 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 13|  0|  8|  0|
|  182 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.1 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 13|  0|  8|  1|
|  183 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.1 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 13|  0|  8|  2|
|  184 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.1 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 13|  0|  8|  3|
|  185 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.2 Source                              | 00~34        | Off~Tempo          |11/12| 13|  0|  9|  0|
|  186 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.2 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 13|  0| 10|  0|
|  187 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.2 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 13|  0| 10|  1|
|  188 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.2 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 13|  0| 10|  2|
|  189 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.2 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 13|  0| 10|  3|
|  190 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.3 Source                              | 00~34        | Off~Tempo          |11/12| 13|  0| 11|  0|
|  191 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.3 Intensity To Attack Time            | 9D~63        | -99~+99            |11/12| 13|  0| 12|  0|
|  192 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.3 Intensity To Decay Time             | 9D~63        | -99~+99            |11/12| 13|  0| 12|  1|
|  193 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.3 Intensity To Slope Time             | 9D~63        | -99~+99            |11/12| 13|  0| 12|  2|
|  194 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Time Mod.3 Intensity To Release Time           | 9D~63        | -99~+99            |11/12| 13|  0| 12|  3|
|  195 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Reset Source                                   | 00~34        | Off~Tempo          |11/12| 13|  0| 13|  0|
|  196 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|      | 7~4 | [EG4] Reset Threshold                                | 9D~63        | -99~+99            |11/12| 13|  0| 14|  0|
|  197 | 3~0 |                                                      |              |                    |     |   |   |   |   |
|  198 |     | [EG5] Start Level                                    | 9D~63        | -99~+99            |11/12| 14|  0|  0|  0|
|  199 |     | [EG5] Attack Level                                   | 9D~63        | -99~+99            |11/12| 14|  0|  0|  1|
|  200 |     | [EG5] Break Level                                    | 9D~63        | -99~+99            |11/12| 14|  0|  0|  2|
|  201 |     | [EG5] Sustain Level                                  | 9D~63        | -99~+99            |11/12| 14|  0|  0|  3|
|  202 |     | [EG5] Release Level                                  | 9D~63        | -99~+99            |11/12| 14|  0|  0|  4|
|  203 | 6~0 | [EG5] Attack Time                                    | 00~63        | 0~99               |11/12| 14|  0|  1|  0|
|      | 7   | [EG5] Decay Time                                     | 00~63        | 0~99               |11/12| 14|  0|  1|  1|
|  204 | 5~0 |                                                      |              |                    |     |   |   |   |   |
